Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,268639,Multifamily Housing,230672,1972,1,100,Whole Building,Not Available,1,152.2,151.2,10,1.1,229.6,29639036.3,296390.4,9218677.9,2619872.4,2516.3,1660.8,855.5,262929,Not Available,Not Available,232.9,Yes
Manhattan,50908,Multifamily Housing,58180,2006,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,58180,Not Available,Not Available,Not Available,Yes
Manhattan,208526,Multifamily Housing,193185,2009,1,100,Whole Building,Whole Building,54,62.1,63.7,9.2,0.3,132.7,6177385.9,65005.5,6349395.8,1860901.2,917.3,328.1,589.2,201605,8554.5,42.43,131.1,Yes
Manhattan,73341,Multifamily Housing,63700,2010,1,100,Whole Building,Whole Building,74,51.7,54.8,6,0.3,100.1,1998461,21897.4,1297980.6,380416.3,226.6,106.1,120.5,63700,Not Available,Not Available,96.9,Yes
Manhattan,91256,Automobile Dealership,91256,2004,1,100,Whole Building,Not Available,Not Available,76.5,81.7,11,0.4,164.6,3459300.2,40156.4,3522548.9,1008147,510.6,183.7,326.9,91256,Not Available,Not Available,161,No
Manhattan,137456,Automobile Dealership,137456,2004,1,100,Whole Building,Not Available,Not Available,35,35.8,9,0.1,101.8,596400,7052.7,4219961.2,1236799.7,423.3,31.7,391.6,137456,Not Available,Not Available,101,Yes
Manhattan,59411,Multifamily Housing,65352,2004,1,100,Whole Building,Whole Building,72,62.1,65.7,4.7,0.5,102.8,2973499.9,32381.1,1084824.9,309490.8,258.6,157.9,100.7,65352,2816.4,43.1,99.9,Yes
Manhattan,98107,Multifamily Housing,107918,2005,1,100,Whole Building,Whole Building,80,60.3,64.6,4.2,0.5,97.6,4914699.7,54372.9,1591254.5,450454.3,408.7,261,147.7,107918,3997.6,37.04,94.1,Yes
Manhattan,51456,Multifamily Housing,51456,1904,1,100,Whole Building,Whole Building,44,77.5,77.5,4.6,Not Available,111.7,Not Available,Not Available,808336.9,236910,310.8,235.8,75,51456,150,2.91,111.7,Yes
Manhattan,103659,Multifamily Housing,109012,2006,1,100,Whole Building,Not Available,75,54,57.6,5.2,0.4,97.8,3910053,43378.5,1972861.1,569923.4,390.8,207.7,183.1,109012,4681.6,42.95,94.5,Yes
Manhattan,57516,Multifamily Housing,47516,1904,1,100,Whole Building,Whole Building,Not Available,78.1,77.8,4.5,0,111.5,208773.5,2139.5,904689.4,259191.7,345.7,261.7,84,57516,6117.2,106.36,112.5,Yes
Manhattan,65048,Multifamily Housing,60500,1960,1,100,Whole Building,Whole Building,56,86.6,91.7,6.6,0.7,143.3,4142320.1,44681.5,1454498,426288.9,355,220,135,64592,4282.6,66.3,138,No
Manhattan,58429,Multifamily Housing,58430,1915,1,100,Whole Building,Whole Building,60,93.4,101.1,5.3,0.8,144.1,4364864.6,48425,1090608.8,311231.6,333,231.8,101.2,58430,3348.4,57.31,137,Yes
Manhattan,154962,Multifamily Housing,154962,1981,1,100,Whole Building,Whole Building,24,107.9,115.6,5.4,0,156.4,608867.7,6088.7,2936791.4,842880.8,1283,1010.4,272.5,154962,15522,100.17,149.5,No
Manhattan,64869,Multifamily Housing,64469,1926,1,100,Whole Building,Not Available,Not Available,80.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,966615.9,Not Available,466.4,376.7,89.7,74136,4917.7,66.33,109.1,Yes
Manhattan,76300,Multifamily Housing,76300,1983,1,100,Whole Building,Whole Building,41,96.4,102.4,5.9,0.8,149.7,5764976.5,62698.3,1593005.4,451592.8,454,306.2,147.8,76300,3545.8,46.47,144.9,Yes
Manhattan,60290,Multifamily Housing,56831,2006,1,100,Whole Building,Whole Building,60,63.4,66.9,7,0.4,120.4,2235223.7,24363,1365048.1,400072.7,245.4,118.7,126.7,56831,Not Available,Not Available,116.7,Yes
Manhattan,53098,Multifamily Housing,53098,1926,1,100,Whole Building,Whole Building,90,86.9,93.3,3.8,0.8,125.1,3904320.7,42659.1,709800.3,201895.5,273.2,207.4,65.9,53098,3367.6,63.42,119.2,Yes
Manhattan,65286,Multifamily Housing,75000,1910,1,100,Whole Building,Whole Building,89,71.7,76.5,3.4,0.7,104.2,4499618.9,48761.8,877025.2,251448.1,320.4,239,81.4,75000,Not Available,Not Available,99.7,Yes
Manhattan,105273,Multifamily Housing,105273,1985,1,100,Whole Building,Whole Building,40,91,96,6.1,0.1,141.7,620764.7,6359.7,2244451.4,644090.8,739.2,530.9,208.3,105273,7235.9,68.74,137.5,Yes
Manhattan,54000,Multifamily Housing,54000,2002,1,100,Whole Building,Whole Building,50,73.2,77.4,5.8,0.6,122.7,2882645.5,31125.3,1069370.4,313414.5,252.3,153.1,99.2,54000,1484.9,27.5,118.2,Yes
Manhattan,66215,Multifamily Housing,66215,2006,1,100,Whole Building,Whole Building,99,28.9,30.3,4.4,0.2,63.1,978407.6,10142.5,936083.1,290739.7,138.8,52,86.9,66215,2538.6,38.34,59.9,Yes
Manhattan,55917,Multifamily Housing,63900,1912,1,100,Whole Building,Whole Building,77,77.6,84.6,3.5,0,110.6,149524,1529.7,783475.4,220603.1,379.3,306.6,72.7,63900,4153.6,65,104.6,Yes
Manhattan,61710,Multifamily Housing,70525,1925,1,100,Whole Building,Whole Building,33,92.6,100.9,3.9,0,130.1,216000,2219.1,928364.3,272088,497.1,410.9,86.2,70525,6086.2,86.3,121.6,No
Manhattan,116100,Multifamily Housing,117600,1900,11,100,Whole Building,Not Available,98,33.1,33.1,7.2,0.1,85.8,1015993.5,10159.9,2873192.9,842084.6,320.6,54,266.6,117600,Not Available,Not Available,85.8,Yes
Manhattan,116600,Multifamily Housing,117600,1910,1,100,Whole Building,Not Available,99,30.8,30.8,6.5,0.1,78.5,1021693.5,10216.9,2598136.5,761470.2,295.4,54.3,241.1,117600,Not Available,Not Available,78.5,Yes
Manhattan,91601,Multifamily Housing,92000,1900,1,100,Whole Building,Not Available,Not Available,66.8,69.8,8,0.4,130,4142187.9,44469.8,2811251.3,827994.7,480.9,220,260.9,104123,4307.5,41.37,126.5,Yes
Manhattan,50128,Multifamily Housing,53007,2010,1,100,Whole Building,Whole Building,Not Available,53.4,56.8,5.1,0.4,96,2100873.6,23250.2,1049720.7,300320.6,209,111.6,97.4,58948,1957.4,33.21,93.3,Yes
Manhattan,60455,Multifamily Housing,62300,1920,1,100,Whole Building,Not Available,60,71.2,77.7,4.2,Not Available,108.9,Not Available,Not Available,887173.1,260015.5,349.6,267.2,82.3,62300,Not Available,Not Available,102.3,No
Manhattan,93857,Multifamily Housing,97600,1926,1,100,Whole Building,Whole Building,88,59.4,64,3.1,0.5,89.1,4743677.6,52259.2,1053772.4,299375.8,349.7,252,97.8,97600,2708.7,27.75,84.9,Yes
Manhattan,133915,Multifamily Housing,64779,1927,1,100,Whole Building,Whole Building,Not Available,133.4,142.1,7.8,0.4,201.7,3122755,31227.6,1919538.4,539980.9,663.6,485.5,178.1,69645,4842.6,69.53,195.2,Yes
Manhattan,100316,Multifamily Housing,105332,1931,1,100,Whole Building,Whole Building,79,78.5,84.5,4.2,Not Available,115.6,Not Available,Not Available,1530627,438911.6,649.3,507.2,142,105332,4533.6,43.04,110.2,Yes
Manhattan,84612,Multifamily Housing,96699,1918,1,100,Whole Building,Whole Building,75,76.7,83,3.5,0.7,111.9,6209513.2,68794.9,1211685.2,335786.2,442.3,329.8,112.4,96699,2953.3,30.54,106.8,Yes
Manhattan,342541,Multifamily Housing,324378,1943,1,100,Whole Building,Whole Building,82,68.7,72.6,4.4,0.6,107.2,17679546.2,192369.2,5215344.5,1450730.9,1423,939,484,333342,8406.4,25.22,104.8,Yes
Manhattan,359602,Multifamily Housing,296779,1971,1,100,Whole Building,Not Available,63,72.3,75.2,4.7,0.1,119.6,3695348,36953.5,5059791.2,1423790.7,1541.8,196.3,1345.5,303585,Not Available,Not Available,117.4,Yes
Manhattan,390628,Multifamily Housing,390628,1961,1,100,Whole Building,Whole Building,70,77.6,82.6,4.8,0.7,121,23765197.5,258472.9,6551882.8,1879348,1870.3,1262.3,608,390628,17621.9,45.11,116.5,Yes
Manhattan,390628,Multifamily Housing,323725,1961,1,100,Whole Building,Whole Building,66,89.9,89.3,6.3,0.6,138.8,20115434,201154.3,7189320.3,2052159.2,1868.8,1201.6,667.2,323725,16544.7,51.11,140.6,Yes
Manhattan,390628,Multifamily Housing,323200,1960,1,100,Whole Building,Not Available,73,82.6,87.4,5.4,0.7,130.2,20351514.2,222934,6345528.3,1742377.1,1669.8,1081,588.9,323200,15483.2,47.91,127.8,Yes
Manhattan,390628,Multifamily Housing,324023,1961,1,100,Whole Building,Whole Building,27,94.1,100.4,5.3,0.8,143.4,24447268.7,266280.1,6044007.7,1727081.3,1859.4,1298.5,560.9,324023,15400.9,47.53,137.8,Yes
Manhattan,92431,Multifamily Housing,66878,2007,1,100,Whole Building,Whole Building,2,126,128.8,21.1,0.6,285.4,5298315.8,57038.4,7337067.3,2112031.1,962.3,281.4,680.9,106522,2924,29.17,285.3,Yes
Manhattan,232452,Multifamily Housing,171832,2007,1,100,Whole Building,Whole Building,Not Available,108.8,110.9,17.4,0.5,240.8,13096042.1,139077.3,16332198.1,4714691,2211.2,695.6,1515.6,270366,12549.3,46.42,240.5,No
Manhattan,129297,Multifamily Housing,92249,2007,1,100,Whole Building,Not Available,2,114.7,116.8,18.1,0.5,252,6613342.1,70347.9,8091500.4,2326230.9,1102.2,351.3,750.9,128196,4871.3,38,252.4,Yes
Manhattan,100530,Multifamily Housing,117088,1929,1,100,Whole Building,Whole Building,93,58.6,63.8,3.4,Not Available,89.3,Not Available,Not Available,1393791.6,400365.9,540.8,411.5,129.3,117088,3373,28.81,84.5,Yes
Manhattan,132444,Multifamily Housing,132444,1946,4,100,Whole Building,Whole Building,83,62.8,66.2,5.2,0.5,106.7,5963603.5,64044.5,2357212.6,690859.4,535.5,316.8,218.7,132444,Not Available,Not Available,103.2,No
Manhattan,132877,Multifamily Housing,130693,1926,1,100,Whole Building,Whole Building,90,59.1,61.9,3.7,0,89.8,273060.4,2792.9,1853332.7,525743.2,645.4,473.4,172,140693,3893.6,27.67,87.8,Yes
Manhattan,88060,Multifamily Housing,76408,1902,1,100,Whole Building,Not Available,97,92.2,100.7,4.9,Not Available,137.3,Not Available,Not Available,1300223.2,374046.3,553,432.3,120.7,76408,4168.6,54.56,129.3,No
Manhattan,115776,Multifamily Housing,115776,1970,1,100,Whole Building,Whole Building,29,87.4,94.6,6.5,0.1,143.2,662117.5,6871.2,2576507.9,755131.2,792.6,553.5,239.1,115776,219193.9,1893.26,135.9,Yes
Manhattan,201723,Multifamily Housing,378000,1929,1,100,Whole Building,Whole Building,Not Available,24.8,26.4,2,0,40.9,439250,3838.4,2610012.3,741111.9,739.5,497.3,242.2,380000,7682.5,20.22,39.8,No
Manhattan,214358,Multifamily Housing,214360,2002,1,100,Whole Building,Whole Building,4,93.2,98.5,11.7,0.6,187.2,11303494.1,125332.8,8681903.4,2517582.2,1406.1,600.4,805.7,214360,10000.5,46.65,182.5,No
Manhattan,71216,Multifamily Housing,71216,1956,1,100,Whole Building,Whole Building,34,91.9,98.6,5.3,0,138,245067.7,2450.7,1282082.4,375756.8,510.3,391.3,119,71216,1881.1,26.41,131.3,Yes
Manhattan,115824,Multifamily Housing,95300,1929,1,100,Whole Building,Not Available,52,93.4,99.2,5.1,0.8,140.4,6920913,75171.3,1703093,485872.5,546.1,388.1,158,95300,4424.8,46.43,135.3,Yes
Manhattan,112493,Multifamily Housing,114065,1982,4,100,Whole Building,Whole Building,Not Available,77.1,82.4,4.3,0.7,117.3,7125400.2,77256.9,1682705.6,493172.7,534.6,378.5,156.2,114200,11527.3,100.94,111.8,Yes
Manhattan,54824,Multifamily Housing,54824,1900,1,100,Whole Building,Whole Building,33,107.9,116.5,4.5,0,150.2,112683.3,1150.1,858617.7,244413,457.8,378.2,79.7,54824,2706.5,49.37,142.4,Yes
Manhattan,65314,Multifamily Housing,65314,1900,1,100,Whole Building,Not Available,84,66.8,73,2,0,88.2,47116.7,477.8,454503.3,129228.5,331.3,289.1,42.2,65314,Not Available,Not Available,82.3,No
Manhattan,632707,Multifamily Housing,251334,1989,1,90,Whole Building,Whole Building,49,113.9,120.3,6.9,1,175.1,22528781.9,243490.1,6107479.7,1722477.3,1763.4,1196.6,566.8,251334,14704.1,58.5,170.4,Yes
Manhattan,102999,Residence Hall/Dormitory,60800,1845,1,100,Whole Building,Whole Building,42,83.7,90.4,6.2,0.7,138.8,3972825.2,44376.6,1384692.7,394505.5,339.5,211,128.5,64000,3707.3,57.93,133.1,Yes
