"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"9993","Queens",102803,"Multifamily Housing","Multifamily Housing",102803,1929,1,100,"WholeBuilding",53,84.8,91.5,6.2,0.7,140.6,6485400.2,72229.5,2233133.1,641315,551.7,344.5,207.2,102803,6741.3,65.58,134.4,"Yes","MultiFamilyHousing"
"9994","Queens",81000,"Multifamily Housing","Multifamily Housing",88938,1939,1,100,"WholeBuilding",56,83.5,89.2,3.1,0.8,115.6,6430100.4,70010,991861.6,273892.2,433.6,341.5,92,88938,4585.6,51.56,110.9,"Yes","MultiFamilyHousing"
"9995","Queens",70000,"Multifamily Housing","Multifamily Housing",72000,1948,1,100,"Other",87,76.3,81.9,3.5,0.6,111,4281228.2,46797.7,868438.1,254524.6,333.6,253,80.6,72000,3032.9,42.12,105.1,"No","MultiFamilyHousing"
"9996","Queens",80400,"Multifamily Housing","Multifamily Housing",81918,1950,1,100,"Other",61,89.4,NA,4,0.8,NA,6208500.2,66860.1,1112621,326090.5,508.1,329.8,178.4,81918,NA,NA,122.2,"No","MultiFamilyHousing"
"9997","Queens",91000,"Multifamily Housing","Multifamily Housing",106166,1939,1,100,"WholeBuilding",73,74.5,80.3,2.9,0.7,105.2,6363400,70057.2,1095163.3,313077.8,473.4,371.8,101.6,106166,3672.9,34.6,99.7,"Yes","MultiFamilyHousing"
"9998","Queens",57228,"Multifamily Housing","Multifamily Housing",57228,1951,1,100,"WholeBuilding",48,94.2,101.1,4.4,0.8,137.4,4147800.3,45778.1,897144.5,252595.8,329.2,245.9,83.3,57228,4640.9,81.1,131.4,"Yes","MultiFamilyHousing"
"9999","Queens",98492,"Multifamily Housing","Multifamily Housing",88243,1929,1,100,"Other",54,103.4,109.9,6.3,0.9,160.6,8313500,90389.8,2273722.7,649680.5,652.6,441.6,211,102436,6543.2,63.88,154.9,"Yes","MultiFamilyHousing"
"10001","Queens",59628,"Multifamily Housing","Multifamily Housing",59628,1937,1,100,"WholeBuilding",47,96.2,103.7,3.4,0,129.3,82503.3,825,703776.4,200755.9,442.6,377.3,65.3,59628,2524.7,42.34,122.4,"Yes","MultiFamilyHousing"
"10002","Queens",79164,"Multifamily Housing","Multifamily Housing",79164,1930,1,100,"WholeBuilding",74,70.4,75.3,3,0.7,100.2,4732411.7,51621.6,838123.7,234673.9,329.1,251.4,77.8,79164,3677.4,46.45,96,"Yes","MultiFamilyHousing"
"10003","Queens",110000,"Multifamily Housing","Multifamily Housing",111000,1927,1,100,"Other",37,119.6,126.4,4.1,1.1,161.6,11677579.2,124973.1,1601800.1,449817.4,768.9,620.3,148.6,111000,14670,132.16,155.8,"No","MultiFamilyHousing"
